ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
1,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,2.93,3.448,
2,Montipora capitata,Resistant,Coral,September_2023,NA,NA,2.856,3.267,
3,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,2.226,2.609,
4,Montipora capitata,Resistant,Coral,September_2023,NA,NA,3.976,4.366,
19,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,2.762,3.115,
20,Montipora capitata,Resistant,Coral,September_2023,NA,NA,2.054,2.405,
26,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.174,2.368,
27,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.733,3.043,
28,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.791,3.113,
29,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.337,2.529,
41,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.807,3.106,
42,Porites compressa,Resistant,Coral,September_2023,NA,NA,1.548,1.707,
43,Porites compressa,Susceptible,Coral,September_2023,NA,NA,3.499,3.871,
44,Porites compressa,Resistant,Coral,September_2023,NA,NA,1.858,2.077,
45,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.338,2.587,
46,Porites compressa,Resistant,Coral,September_2023,NA,NA,3.215,3.732,
201,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,2.65,3.025,
202,Montipora capitata,Resistant,Coral,September_2023,NA,NA,3.236,3.66,
203,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,3.481,3.945,
204,Montipora capitata,Resistant,Coral,September_2023,NA,NA,2.606,2.988,
205,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,1.549,1.82,
206,Montipora capitata,Resistant,Coral,September_2023,NA,NA,1.029,1.231,
209,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,2.529,2.958,
210,Montipora capitata,Resistant,Coral,September_2023,NA,NA,3.954,4.449,
211,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,1.251,1.455,
212,Montipora capitata,Resistant,Coral,September_2023,NA,NA,1.102,1.256,
214,Montipora capitata,Resistant,Coral,September_2023,NA,NA,1.324,1.568,
219,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,0.918,1.047,
220,Montipora capitata,Resistant,Coral,September_2023,NA,NA,2.053,2.303,
221,Montipora capitata,Susceptible,Coral,September_2023,NA,NA,1.688,1.878,
225,Porites compressa,Susceptible,Coral,September_2023,NA,NA,1.489,1.691,
226,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.701,2.915,
233,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.114,2.356,
234,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.614,2.858,
235,Porites compressa,Susceptible,Coral,September_2023,NA,NA,1.083,1.227,
236,Porites compressa,Resistant,Coral,September_2023,NA,NA,1.849,2.072,
237,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.53,2.815,
238,Porites compressa,Resistant,Coral,September_2023,NA,NA,1.881,2.109,
239,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.223,2.492,
240,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.681,3.035,
241,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.502,2.722,
242,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.287,2.499,
243,Porites compressa,Susceptible,Coral,September_2023,NA,NA,1.844,2.008,
244,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.645,2.882,
247,Porites compressa,Susceptible,Coral,September_2023,NA,NA,2.169,2.431,
248,Porites compressa,Resistant,Coral,September_2023,NA,NA,2.076,2.283,
Standard1,NA,NA,Standard,September_2023,1.27,7.3025,4.7784,5.7543,
Standard2,NA,NA,Standard,September_2023,1.5,7.3025,6.6983,7.8447,
Standard3,NA,NA,Standard,September_2023,0.9525,7.3025,2.4011,3.1045,
Standard4,NA,NA,Standard,September_2023,0.635,7.3025,1.1197,1.5171,
Standard5,NA,NA,Standard,September_2023,3.175,10.16,44.2291,49.0361,
