Date,Run ,Well,ColonyID,Timepoint,Dilution,Pellet_Resuspend_Vol_mL,Use,Notes
20240318,Run 1,A01,220,January_2024,3,10,,
20240318,Run 1,A02,220,January_2024,3,10,,
20240318,Run 1,A03,220,January_2024,3,10,,
20240318,Run 1,A04,4,September_2023,3,10,,
20240318,Run 1,A05,4,September_2023,3,10,,
20240318,Run 1,A06,4,September_2023,3,10,,
20240318,Run 1,A07,20,September_2023,3,10,,
20240318,Run 1,A08,20,September_2023,3,10,,
20240318,Run 1,A09,20,September_2023,3,10,,
20240318,Run 1,A10,248,September_2023,3,10,,
20240318,Run 1,A11,248,September_2023,3,10,,
20240318,Run 1,A12,248,September_2023,3,10,,
20240318,Run 1,B01,46,January_2024,3,10,,
20240318,Run 1,B02,46,January_2024,3,10,,
20240318,Run 1,B03,46,January_2024,3,10,,
20240318,Run 1,B04,237,January_2024,3,10,,
20240318,Run 1,B05,237,January_2024,3,10,,
20240318,Run 1,B06,237,January_2024,3,10,,
20240318,Run 1,B07,205,September_2023,3,10,,
20240318,Run 1,B08,205,September_2023,3,10,,
20240318,Run 1,B09,205,September_2023,3,10,,
20240318,Run 1,B10,42,September_2023,3,10,,
20240318,Run 1,B11,42,September_2023,3,10,,
20240318,Run 1,B12,42,September_2023,3,10,,
20240318,Run 1,C01,3,September_2023,3,10,,
20240318,Run 1,C02,3,September_2023,3,10,,
20240318,Run 1,C03,3,September_2023,3,10,,
20240318,Run 1,C04,219,January_2024,3,10,,
20240318,Run 1,C05,219,January_2024,3,10,,
20240318,Run 1,C06,219,January_2024,3,10,,
20240319,Run 1,A01,226,January_2024,3,10,,
20240319,Run 1,A02,226,January_2024,3,10,,
20240319,Run 1,A03,226,January_2024,3,10,,
20240319,Run 1,A04,210,September_2023,3,10,,
20240319,Run 1,A05,210,September_2023,3,10,,
20240319,Run 1,A06,210,September_2023,3,10,,
20240319,Run 1,A07,221,September_2023,3,10,,
20240319,Run 1,A08,221,September_2023,3,10,,
20240319,Run 1,A09,221,September_2023,3,10,,
20240319,Run 1,A10,45,January_2024,3,10,,
20240319,Run 1,A11,45,January_2024,3,10,,
20240319,Run 1,A12,45,January_2024,3,10,,
20240319,Run 1,B01,225,January_2024,3,10,,
20240319,Run 1,B02,225,January_2024,3,10,,
20240319,Run 1,B03,225,January_2024,3,10,,
20240319,Run 1,B04,41,September_2023,3,10,,
20240319,Run 1,B05,41,September_2023,3,10,,
20240319,Run 1,B06,41,September_2023,3,10,,
20240319,Run 1,B07,244,January_2024,3,10,,
20240319,Run 1,B08,244,January_2024,3,10,,
